,sp,ibyt
10393,13125,32863861
8551,10869,32858141
49513,56519,32838941
21393,26681,32831957
48437,55443,32825166
19216,23965,32810470
43096,50102,32800467
47610,54616,32793692
2665,3792,32771535
43352,50358,32768604
10929,13802,32758250
15127,19017,32719634
53213,60220,32713365
42188,49194,32700498
56099,63106,32694990
53264,60271,32672397
27312,33830,32671816
47558,54564,32660449
36741,43579,32632430
36849,43692,32598865
31995,38682,32594339
38558,45447,32563912
42728,49734,32522833
39546,46462,32488696
45249,52255,32485804
34060,40819,32456084
56508,63515,32416754
43646,50652,32342179
48626,55632,32324808
47841,54847,32322500
39012,45912,32320938
57211,64218,32299617
43556,50562,32251388
43358,50364,32249615
46321,53327,32171101
53065,60072,32122005
53605,60612,32094658
47689,54695,32038676
48555,55561,32034499
44145,51151,32020644
56596,63603,31954820
38858,45752,31945978
8234,10482,31912155
43440,50446,31878109
54587,61594,31836542
45520,52526,31807003
44126,51132,31796252
43502,50508,31774094
51084,58091,31764119
43714,50720,31695027
36175,42999,31693308
46727,53733,31647530
43138,50144,31613952
43535,50541,31568344
53212,60219,31505963
46085,53091,31502930
44560,51566,31456173
52187,59194,31451664
43212,50218,31443620
42343,49349,31408019
36647,43480,31383810
45207,52213,31365298
47300,54306,31353554
436,1414,31287040
42238,49244,31285075
42306,49312,31275476
31227,37894,31264453
41621,48606,31252908
57209,64216,31232095
48894,55900,31224802
27715,34250,31217849
27383,33905,31178911
42214,49220,31152256
33890,40645,31148477
55971,62978,31138410
45444,52450,31136663
46040,53046,31121788
43350,50356,31098250
30865,37525,31028521
57204,64211,31026945
46482,53488,30978291
23500,29324,30955994
58793,5506,30934463
49193,56199,30898949
35881,42697,30888877
43534,50540,30862674
48859,55865,30856924
48615,55621,30803157
2689,3816,30758135
43366,50372,30734917
26784,33293,30715681
49896,56903,30700560
57052,64059,30685346
54895,61902,30663205
55182,62189,30626869
